,,1,2,3
survived,count,216.0,184.0,491.0
survived,mean,0.6296296296296297,0.47282608695652173,0.24236252545824846
survived,std,0.48402561132684635,0.5006232751061891,0.42894949864606563
survived,min,0.0,0.0,0.0
survived,25%,0.0,0.0,0.0
survived,50%,1.0,0.0,0.0
survived,75%,1.0,1.0,0.0
survived,max,1.0,1.0,1.0
age,count,186.0,173.0,355.0
age,mean,38.233440860215055,29.87763005780347,25.14061971830986
age,std,14.802855896450462,14.0010768124762,12.495398210982415
age,min,0.92,0.67,0.42
age,25%,27.0,23.0,18.0
age,50%,37.0,29.0,24.0
age,75%,49.0,36.0,32.0
age,max,80.0,70.0,74.0
sibsp,count,216.0,184.0,491.0
sibsp,mean,0.4166666666666667,0.40217391304347827,0.615071283095723
sibsp,std,0.6118975442434483,0.6016331618122913,1.374882905964152
sibsp,min,0.0,0.0,0.0
sibsp,25%,0.0,0.0,0.0
sibsp,50%,0.0,0.0,0.0
sibsp,75%,1.0,1.0,1.0
sibsp,max,3.0,3.0,8.0
parch,count,216.0,184.0,491.0
parch,mean,0.35648148148148145,0.3804347826086957,0.39307535641547864
parch,std,0.6939972720472019,0.6909626025537282,0.8888612942592733
parch,min,0.0,0.0,0.0
parch,25%,0.0,0.0,0.0
parch,50%,0.0,0.0,0.0
parch,75%,0.0,1.0,0.0
parch,max,4.0,3.0,6.0
fare,count,216.0,184.0,491.0
fare,mean,84.1546875,20.662183152173913,13.675550101832993
fare,std,78.38037264672882,13.417398756149343,11.778141704387307
fare,min,0.0,0.0,0.0
fare,25%,30.923949999999998,13.0,7.75
fare,50%,60.287499999999994,14.25,8.05
fare,75%,93.5,26.0,15.5
fare,max,512.3292,73.5,69.55
